"Category ID","Name","Custom URL","Image URL"
"1197","IA","/ia/",""
"7606","Office","/office/",""
"7607","Calendars, Planners & Personal Organizers","/office/calendars-planners-personal-organizers/",""
"7608","Appointment Book Refills","/office/calendars-planners-personal-organizers/appointment-book-refills/",""
"7609","Appointment Books","/office/calendars-planners-personal-organizers/appointment-books/",""
"7610","Calendars","/office/calendars-planners-personal-organizers/calendars/",""
"7611","Forms, Recordkeeping & Reference Materials","/office/forms-recordkeeping-reference-materials/",""
"7612","Address\Telephone Books","/office/forms-recordkeeping-reference-materials/address-telephone-books/",""
"7613","Paper & Printable Media","/office/paper-printable-media/",""
"7614","Teacher's Lesson Planners","/office/paper-printable-media/teachers-lesson-planners/",""
"7615","Ledgers\Journals","/office/forms-recordkeeping-reference-materials/ledgers-journals/",""
"7616","Calendar Refills","/office/calendars-planners-personal-organizers/calendar-refills/",""
"7617","Furniture","/office/furniture/",""
"7618","Literature Racks & Display Cases","/office/furniture/literature-racks-display-cases/",""
"7619","Literature Racks & Displays","/office/furniture/literature-racks-display-cases/literature-racks-displays/",""
"7620","Garment Racks & Hangers","/office/furniture/garment-racks-hangers/",""
"7621","Hangers\Hooks","/office/furniture/garment-racks-hangers/hangers-hooks/",""
"7622","Clothes Racks","/office/furniture/garment-racks-hangers/clothes-racks/",""
"7623","Food Service","/food-service/",""
"7624","Table Service","/food-service/table-service/","https://cdn11.bigcommerce.com/s-4ryvx738h/product_images/h/table%20service__40416.jpg"
"7625","Guest Checks","/food-service/table-service/guest-checks/",""
"7626","Ledger Sheets","/office/forms-recordkeeping-reference-materials/ledger-sheets/",""
"7627","Binders & Binding Supplies","/office/binders-binding-supplies/",""
"7628","Binders","/office/binders-binding-supplies/binders/",""
"7629","Forms","/office/forms-recordkeeping-reference-materials/forms/",""
"7630","Janitorial & Sanitation","/janitorial-sanitation/",""
"7631","First Aid & Health Supplies","/janitorial-sanitation/first-aid-health-supplies/","https://cdn11.bigcommerce.com/s-4ryvx738h/product_images/f/first%20aid%20%26%20health%20supplies__11633.jpg"
"7632","Medicines","/janitorial-sanitation/first-aid-health-supplies/medicines/",""
"7633","File Folders, Portable & Storage Box Files","/office/file-folders-portable-storage-box-files/",""
"7634","File Fasteners","/office/file-folders-portable-storage-box-files/file-fasteners/",""
"7635","Classification Folders","/office/file-folders-portable-storage-box-files/classification-folders/",""
"7636","Report Covers","/office/binders-binding-supplies/report-covers/",""
"7637","Binder Posts","/office/binders-binding-supplies/binder-posts/",""
"7638","Tape, Adhesives & Fasteners","/office/tape-adhesives-fasteners/",""
"7639","Clips\Clamps","/office/tape-adhesives-fasteners/clips-clamps/",""
"7640","Rubber Bands","/office/tape-adhesives-fasteners/rubber-bands/",""
"7641","General Office Accessories","/office/general-office-accessories/",""
"7642","Loose-Leaf Book Rings","/office/general-office-accessories/loose-leaf-book-rings/",""
"7643","Staplers & Punches","/office/staplers-punches/",""
"7644","Staplers","/office/staplers-punches/staplers/",""
"7645","Staples","/office/staplers-punches/staples/",""
"7646","Punches","/office/staplers-punches/punches/",""
"7647","Cutting & Measuring Devices","/office/cutting-measuring-devices/",""
"7648","Rulers","/office/cutting-measuring-devices/rulers/",""
"7649","Crafts & Recreation Room Products","/office/crafts-recreation-room-products/",""
"7650","Scissors","/office/crafts-recreation-room-products/scissors/",""
"7651","Trimmer Boards","/office/cutting-measuring-devices/trimmer-boards/",""
"7652","Hardware, Tools & Accessories","/janitorial-sanitation/hardware-tools-accessories/","https://cdn11.bigcommerce.com/s-4ryvx738h/product_images/u/hardware%20tools%20%26%20accessories__54081.jpg"
"7653","Replacement Blades","/janitorial-sanitation/hardware-tools-accessories/replacement-blades/",""
"7654","Drafting Kits","/office/general-office-accessories/drafting-kits/",""
"7655","Writing & Correction Supplies","/office/writing-correction-supplies/",""
"7656","Pencil & Crayon Sharpeners","/office/writing-correction-supplies/pencil-crayon-sharpeners/",""
"7657","Industrial","/janitorial-sanitation/industrial/","https://cdn11.bigcommerce.com/s-4ryvx738h/product_images/v/industrial__96447.jpg"
"7658","Hand Tools","/janitorial-sanitation/industrial/hand-tools/",""
"7659","Knives & Multi-Purpose Tools","/janitorial-sanitation/industrial/hand-tools/knives-multi-purpose-tools/",""
"7660","Letter Openers","/office/general-office-accessories/letter-openers/",""
"7661","Bandages","/janitorial-sanitation/first-aid-health-supplies/bandages/",""
"7662","Time Clocks","/office/forms-recordkeeping-reference-materials/time-clocks/",""
"7663","Time Clock Cards","/office/forms-recordkeeping-reference-materials/time-clock-cards/",""
"7664","Time Clock Accessories","/office/forms-recordkeeping-reference-materials/time-clock-accessories/",""
"7665","Correction Tapes","/office/writing-correction-supplies/correction-tapes/",""
"7666","Desk Accessories & Workspace Organizers","/office/desk-accessories-workspace-organizers/",""
"7667","Time Card Racks","/office/desk-accessories-workspace-organizers/time-card-racks/",""
"7668","Kitchen Supplies","/food-service/kitchen-supplies/","https://cdn11.bigcommerce.com/s-4ryvx738h/product_images/v/kitchen%20supplies__34792.jpg"
"7669","Cold & Hot Food Pans","/food-service/kitchen-supplies/cold-hot-food-pans/",""
"7670","Step Stools & Ladders","/janitorial-sanitation/hardware-tools-accessories/step-stools-ladders/",""
"7671","Bowls & Plates","/food-service/bowls-plates/","https://cdn11.bigcommerce.com/s-4ryvx738h/product_images/n/bowls%20%26%20plates__54997.jpg"
"7672","Plates","/food-service/bowls-plates/plates/",""
"7673","Beverages & Beverage Dispensers","/food-service/beverages-beverage-dispensers/","https://cdn11.bigcommerce.com/s-4ryvx738h/product_images/n/beverages%20%26%20beverage%20dispensers__51953.jpg"
