source_entity_id,target_entity_id,order status
3247,300041983,0
3248,300041984,0
3251,300041986,0
3257,300041987,0
3260,300041988,0
3261,300041989,0
3262,300041991,0
3272,300041992,0
3280,300041993,0
3281,300041994,0
3282,300041995,0
3287,300041996,0
3288,300041997,0
3289,300041998,0
3292,300042001,0
3303,300042003,0
3304,300042005,0
3305,300042007,0
3306,300042009,0
3307,300042011,0
8300,300042012,waiting
8312,300042013,waiting
8313,300042015,waiting
8315,300042016,waiting
8316,300042017,waiting
8331,300042019,waiting
8337,300042021,waiting
8353,300042022,waiting
8361,300042023,waiting
8366,300042024,waiting
8368,300042025,waiting
8372,300042027,waiting
8377,300042028,waiting
8378,300042029,waiting
8386,300042030,waiting
8400,300042032,waiting
8402,300042035,waiting
8442,300042036,waiting
8452,300042037,waiting
8456,300042038,waiting
8462,300042039,waiting
8463,300042040,waiting
8466,300042041,waiting
8469,300042042,waiting
8471,300042043,waiting
8473,300042044,waiting
8481,300042045,waiting
8485,300042046,waiting
8492,300042048,waiting
8493,300042050,waiting
8495,300042051,waiting
8496,300042053,waiting
8513,300042054,waiting
8520,300042055,waiting
8526,300042056,waiting
8527,300042058,waiting
8532,300042059,waiting
8535,300042061,waiting
8536,300042062,waiting
8541,300042064,waiting
8542,300042065,waiting
8546,300042066,waiting
8547,300042067,waiting
8551,300042069,waiting
8552,300042070,waiting
8555,300042072,waiting
8558,300042074,waiting
8560,300042076,waiting
8561,300042077,waiting
8562,300042078,waiting
8567,300042080,waiting
8576,300042082,waiting
8579,300042083,waiting
8584,300042085,waiting
8591,300042086,waiting
8593,300042087,waiting
8598,300042088,waiting
8599,300042089,waiting
8607,300042090,waiting
8608,300042091,waiting
8609,300042092,waiting
8610,300042094,waiting
8611,300042095,waiting
8612,300042096,waiting
8614,300042098,waiting
8617,300042100,waiting
8618,300042101,waiting
8624,300042102,waiting
8626,300042103,waiting
8628,300042105,waiting
8629,300042106,waiting
8635,300042107,waiting
8636,300042108,waiting
8644,300042110,waiting
8650,300042111,waiting
8651,300042112,waiting
8656,300042113,waiting
8663,300042115,waiting
8667,300042116,waiting
8668,300042118,waiting
8671,300042119,waiting
8672,300042120,waiting
8673,300042121,waiting
8677,300042122,waiting
8680,300042123,waiting
8682,300042125,waiting
8683,300042126,waiting
8685,300042127,waiting
8686,300042129,waiting
8689,300042131,waiting
8694,300042133,waiting
8695,300042135,waiting
8706,300042136,waiting
8707,300042137,waiting
8713,300042139,waiting
8715,300042140,waiting
8719,300042141,waiting
8724,300042142,waiting
8728,300042143,waiting
8741,300042145,waiting
8744,300042146,waiting
8745,300042148,waiting
8748,300042150,waiting
8758,300042151,waiting
8762,300042152,waiting
8764,300042153,waiting
8770,300042154,waiting
8775,300042155,waiting
8776,300042156,waiting
8781,300042157,waiting
8943,300042159,waiting
8944,300042161,waiting
8956,300042162,waiting
8957,300042163,waiting
8960,300042165,waiting
8962,300042167,waiting
8965,300042168,waiting
8967,300042169,waiting
8969,300042171,waiting
8970,300042172,waiting
8976,300042174,waiting
8978,300042175,waiting
8983,300042177,waiting
8988,300042178,waiting
9003,300042180,waiting
9007,300042181,waiting
9010,300042182,waiting
9011,300042183,waiting
9013,300042184,waiting
9016,300042185,waiting
9017,300042186,waiting
9018,300042187,waiting
9024,300042188,waiting
9027,300042190,waiting
9036,300042191,waiting
9042,300042192,waiting
9047,300042194,waiting
9048,300042195,waiting
9049,300042196,waiting
9055,300042197,waiting
9058,300042198,waiting
9059,300042199,waiting
9062,300042200,waiting
9069,300042202,waiting
9071,300042204,waiting
9083,300042205,waiting
9085,300042207,waiting
9088,300042208,waiting
9089,300042210,waiting
9090,300042212,waiting
9098,300042213,waiting
9099,300042214,waiting
9100,300042216,waiting
9104,300042217,waiting
9105,300042218,waiting
9107,300042220,waiting
9109,300042221,waiting
9112,300042222,waiting
9120,300042223,waiting
9123,300042224,waiting
9128,300042225,waiting
9133,300042226,waiting
9134,300042227,waiting
9139,300042228,waiting
9140,300042229,waiting
9144,300042230,waiting
9152,300042231,waiting
9158,300042232,waiting
9160,300042234,waiting
9164,300042236,waiting
9174,300042237,waiting
9175,300042238,waiting
9180,300042239,waiting
9191,300042240,waiting
9192,300042241,waiting
9194,300042243,waiting
9198,300042245,waiting
9200,300042246,waiting
9201,300042247,waiting
9214,300042248,waiting
9219,300042249,waiting
9223,300042251,waiting
9227,300042252,waiting
9228,300042253,waiting
9229,300042254,waiting
9238,300042257,waiting
9248,300042259,waiting
9256,300042260,waiting
9272,300042262,waiting
9274,300042263,waiting
9276,300042264,waiting
9277,300042265,waiting
